CHAVE;EMPRESA;ANO;MES;DATA;CLIENTE;DOC;PRODUTO;QTD;PRECO;VALOR;DESC;CAIXA;FORMA;TIPO;VENDEDOR;GRUPO;SUBGRUPO
;T CASA 01 - Matriz;2025;4;30/04/2025;CONASA;9911;TORNEIRA 22CM PAREDE COZ METAL CR - 1249;4;86,9;347,6;0;;A PRAZO;NFDAV;HC VICENTE;COZINHA/BANHEIROS;TORNEIRA
;T CASA 01 - Matriz;2025;10;24/10/2025;EUROCAR;13297;CIMENTADO E PISO BRANCO;1;347,27;347,27;1,73;;A PRAZO;NFDAV;HC VICENTE;TINTA/IMPERM/COMPLEM;TINTA
;T CASA 01 - Matriz;2025;4;30/04/2025;LIDER ENGENHARIA;9910;TUBO SOLDA 6M;5;69,4;347;0;;A PRAZO;NFDAV;HC ALLAN;BASICO/HIDRAULICA;TUBO
;T CASA 01 - Matriz;2025;4;07/04/2025;EDIR LISBOA DA SILVA;0;BOMBA PERIFERICA 127V;1;346,9;346,9;0;;CARTÃO;;HC RENATA;FERRAMENTA/MAQU/EPI;BOMBA AGUA
;T CASA 01 - Matriz;2025;4;13/04/2025;LUIZ FERNANDO GALIZA CARDOSO;9588;BOMBA PERIFERICA 127V;1;346,9;346,9;0;;CARTÃO;NFDAV;HC MARINETE;FERRAMENTA/MAQU/EPI;BOMBA AGUA
;T CASA 01 - Matriz;2025;4;19/04/2025;VENDA CONSUMIDOR;1231;BOMBA PERIFERICA 127V;1;346,9;346,9;0;1;CARTÃO;CUPOM MANUAL;HC MILTON;FERRAMENTA/MAQU/EPI;BOMBA AGUA
;T CASA 01 - Matriz;2025;8;19/08/2025;PINHEIRO SERENI ENGENHARIA;11940;SILICONE ACETICO MULTIUSO TRANS 280ML;12;28,9;346,8;0;;A PRAZO;NFDAV;HC VICENTE;QUIMICOS/ADESIVOS;SILICONE
;T CASA 01 - Matriz;2025;8;21/08/2025;BENEFI PORTUGUESA;12005;LIXA MASSA GR 100;291;1,19024055;346,36;0,01;;A PRAZO;NFDAV;HC VICENTE;TINTA/IMPERM/COMPLEM;LIXA
;T CASA 01 - Matriz;2025;9;22/09/2025;HOTEL FORM. 1 BELEM;12563;RODAFORRO PVC TIPO U BRANCO NEVE 6M;6;57,62;345,72;0,28;;A PRAZO;NFDAV;HC ALLAN;BASICO/HIDRAULICA;RODAFORRO
;T CASA 01 - Matriz;2025;11;04/11/2025;EXEC. HANGAR HOTEL;13459;COLOR SYSTEM C SEMI BRILHO;1;345,7;345,7;0;;A PRAZO;NFDAV;HC ALLAN;TINTA/IMPERM/COMPLEM;TINTA
;T CASA 01 - Matriz;2025;4;25/04/2025;NILTON MATEUS;9798;LAMPADA LED BULBO HP 75W E27 BR6500K BIV;3;115,2;345,6;12,4;;A PRAZO;NFDAV;HC WELLINGTON SILVA;ELETRICO/ILUMINACAO;LAMPADA
;T CASA 01 - Matriz;2025;7;16/07/2025;PAROQUIA;19908;MASSA CORRIDA PVA - 20KG;5;69,1;345,5;0;3;BANCO;DAV;HC RENATO;TINTA/IMPERM/COMPLEM;MASSA CORRIDA
;T CASA 01 - Matriz;2025;7;22/07/2025;IT CENTER;11472;MASSA CORRIDA PVA - 20KG;5;69,1;345,5;0;;A PRAZO;NFDAV;VENDEDOR PADRAO;TINTA/IMPERM/COMPLEM;MASSA CORRIDA
;T CASA 01 - Matriz;2025;7;23/07/2025;PINHEIRO SERENI INCO;11506;MASSA CORRIDA PVA - 20KG;5;69,1;345,5;0;;A PRAZO;NFDAV;HC VICENTE;TINTA/IMPERM/COMPLEM;MASSA CORRIDA
